taxid	names	taxids
102	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Polaribacter|Polaribacter glomeratus	2|976|117743|200644|49546|52959|102
102127	Bacteria|Cyanobacteriota|Cyanophyceae|Oscillatoriales|Oscillatoriaceae|Baaleninema|Baaleninema simplex	2|1117|3028117|1150|1892254|2862346|2862350
102148	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium|Solobacterium moorei	2|1239|526524|526525|128827|123375|102148
102226	Bacteria|Actinomycetota|Actinomycetes|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis albidoflavus	2|201174|1760|85010|2070|1813|102226
102227	Bacteria|Actinomycetota|Actinomycetes|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia kongjuensis	2|201174|1760|85010|2070|1847|102227
102618	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter pylori	2|29547|3031852|213849|72293|209|210
102684	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus infantarius	2|1239|91061|186826|1300|1301|102684
1026882	Bacteria|Pseudomonadota|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Methylophaga|Methylophaga thalassica	2|1224|1236|72273|135616|40222|40223
1027249	Bacteria|Bacillota|Bacilli|Caryophanales|Bacillaceae|Gracilibacillus|Gracilibacillus kekensis	2|1239|91061|1385|186817|74385|1027249
1027273	Bacteria|Pseudomonadota|Gammaproteobacteria|Oceanospirillales|Endozoicomonadaceae|Endozoicomonas|Endozoicomonas montiporae	2|1224|1236|135619|2066474|305899|1027273
1027360	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Hafniaceae|Edwardsiella|Edwardsiella ictaluri	2|1224|1236|91347|1903412|635|67780
